UUID,Fully specified name:en,Data class,Data type,Answers,Members
cfa799db-d343-4213-9eed-8dec825ccc0e,Parto_Resuscitation,Misc,N/A,,
a6135f07-7de7-4f31-9807-73cf8e739a3b,Parto_Retained Placenta interventions,Misc,N/A,,
2d5d45c4-d8dd-479b-8a3a-76577f7e4c14,Parto_Screening,Misc,N/A,Screened positive for abnormalities of the eye;Screened negative for hyperbilirubinaemia by TcB;Screened negative for abnormalities of the eye;Screened negative for hearing impairment,
ed5d34b0-441b-4a2f-972d-6c6af5c108ab,Parto_Screening for substance use,Misc,N/A,,
b5985b24-dca0-4432-ae74-5f54a149358d,Parto_Screening HIV,Misc,N/A,,
cc3857ef-7dff-4973-8ef1-d4d4e765f908,Parto_Screening RPR catch-up,Misc,N/A,,
c2069c3d-1a82-4bf8-8546-55dd8e77dd26,Parto_Spontaneous vaginal birth,Misc,N/A,,
60db29ac-c00f-433a-9dd0-04feb7bd7017,Parto_Tear interventions,Misc,N/A,,
d8b29a7f-b332-4e99-879b-5433433b66df,Parto_Transverse,Misc,N/A,,
8eeea59e-d31c-4294-b02d-078249818e1b,Parto_Urine,Misc,N/A,P++/A++,
b115df7b-2657-4203-ae3c-725ccc2b8b39,Parto_Uterine atony interventions,Misc,Coded,,
334d8cd9-a467-4daa-b4c3-406c0275656c,parto_Uterotonics for AMTSL,Misc,N/A,oxytocin;MISOPROSTOL;Carbetocin,
db424d49-a57f-40e8-bb6e-c2acf42cf1ee,Perineum,Misc,N/A,,
96f890c7-72ed-4586-9782-22a91a07bbbd,Placenta delivery,Misc,N/A,,
3ceb32b4-26fe-102b-80cb-0017a47871b2,POLIOMYELITIS,Misc,N/A,,
c0165f54-659f-4ad2-b997-db91844b26c2,Postpartum care and hygiene,Misc,N/A,,
cb758416-d950-4e21-a4b6-4cd37843b74c,Posture,Misc,N/A,,
b76f83ea-b94d-4768-8beb-91e6a69c2527,Prevention of hypo- and hyperthermia,Misc,N/A,,
49685457-b20e-4489-b1ea-cb278f5f3f0f,Receiving prophylactic medications?,Misc,N/A,,
737d736e-9c1e-482a-a9af-328114cc5638,"Rest, help with care in the home",Misc,N/A,,
0c603c96-1ed9-4ecd-8de1-2ca49b4838b5,"Resumption of sexual activity, safer sex",Misc,N/A,,
bcc5dab9-108e-47b3-80d5-004086deb7cd,Retained Placenta,Misc,N/A,,
5fa213ba-7a0e-4cbe-a0e7-44ce1cc8804a,"Return to fertility, birth spacing and PPFP",Misc,N/A,,
6834067f-54fb-4214-87fa-4b19e79360fc,Sage-femme,Diagnosis,Text,,
0f3f27e8-949d-4ef3-9c1a-04cb2ac121ff,saignement du vagin,Symptom/Finding,N/A,,
4ac39577-f644-4b8d-9a96-5d46a9bcf785,Score d'Apgar à 1 minute,Misc,N/A,,
4f083700-f814-4ce9-9d0d-426c910844cb,Screened negative for abnormalities of the eye,Misc,N/A,,
d7641598-2ee9-471a-8730-41b38a768def,Screened negative for hearing impairment,Misc,N/A,,
57e76394-b299-424c-b31f-c4bb0fdd0869,Screened negative for hyperbilirubinaemia by TcB,Misc,N/A,,
4087e66a-b161-4319-b0a3-4879547dc177,Screened positive for abnormalities of the eye,Misc,N/A,,
e552ef1b-a9b2-45ef-8078-b1d3989c2454,Sex,Misc,N/A,,
a972e953-3552-4a95-bd9f-1a59c2a87f69,Still birth,Misc,N/A,,
68d358df-f16d-4b26-b05c-f6f34eb00048,Supine sleeping,Misc,N/A,,
79b9f813-6612-49a9-bc28-bf2a18c0af2d,Time,Misc,N/A,,
80d26408-00ce-4476-9683-bd44ebdc0f4f,Time the umbilical cord was cut,Misc,N/A,,
e65c3e51-261e-4294-a5d3-47f94164dc5f,Under treatment for a complication?,Misc,N/A,,
a0bc6f56-c70b-4f7a-b9a4-2dd9806f67b5,Uterine atony,Misc,N/A,,
910ed264-7712-43f6-b9e6-59d8ecf05da9,Uterine height,Misc,Text,,
9eb2c604-beab-41e7-a1ef-d53b6aa5dda6,VITAMIN K1,Misc,N/A,,
28208174-8023-44c9-8101-a1569d3526ec,Whole body massage,Misc,N/A,,
457b48c5-f089-4ba9-b123-34e3751506ad,Woman able and confident to care for herself?,Misc,N/A,,
8acb9a3d-c318-48c5-a254-b074d8784ba9,Woman bonding well with her baby?,Misc,N/A,,
e03876e8-df57-4b83-9d3d-cdc32410cf08,Woman has a social network able to assist her in the home?,Misc,N/A,,
781be340-8a64-426d-911b-7d02ecea2036,État du périnée,Question,Coded,,
3cd6f86c-26fe-102b-80cb-0017a47871b2,نہیں,Misc,N/A,,
cf3137cf-8a15-429b-800b-2e35d43011d7,Newborn Outcome,Misc,Coded,HEAD CIRCUMFERENCE;Death within 24hr;Still birth,
